12K_LITEN_VB33_7HNT_5KAT, 27.10.2016, 9:11
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	 Sig' [S/cm]	Rspec.[Ohms cm]	Tan(Delta) 	  Cp' [F]	 Zp' [Ohms]	 Zp'' [Ohms]
1.00000e+06	-1.50000e+02	2.43631e+00	-6.45860e-04	-3.59309e-10	-2.78312e+09	-2.65098e-04	5.14441e-11	-1.16702e+07	3.09374e+03
7.14286e+05	-1.50000e+02	2.43812e+00	1.61658e-04	6.42388e-11	1.55669e+10	6.63043e-05	5.14823e-11	6.52752e+07	4.32803e+03
5.10204e+05	-1.50000e+02	2.43854e+00	1.29333e-04	3.67099e-11	2.72406e+10	5.30373e-05	5.14912e-11	1.14225e+08	6.05820e+03
3.64432e+05	-1.50000e+02	2.43867e+00	1.38911e-04	2.81632e-11	3.55074e+10	5.69617e-05	5.14941e-11	1.48890e+08	8.48100e+03
2.60308e+05	-1.50000e+02	2.43879e+00	1.92586e-04	2.78896e-11	3.58556e+10	7.89681e-05	5.14965e-11	1.50350e+08	1.18728e+04
1.85934e+05	-1.50000e+02	2.43882e+00	3.24648e-04	3.35817e-11	2.97782e+10	1.33117e-04	5.14972e-11	1.24866e+08	1.66217e+04
1.32810e+05	-1.50000e+02	2.43904e+00	3.29919e-04	2.43763e-11	4.10234e+10	1.35266e-04	5.15019e-11	1.72020e+08	2.32683e+04
9.48645e+04	-1.50000e+02	2.43919e+00	3.31698e-04	1.75056e-11	5.71247e+10	1.35987e-04	5.15051e-11	2.39535e+08	3.25736e+04
6.77604e+04	-1.50000e+02	2.43928e+00	3.07622e-04	1.15964e-11	8.62339e+10	1.26112e-04	5.15068e-11	3.61596e+08	4.56016e+04
4.84003e+04	-1.50000e+02	2.43930e+00	3.62283e-04	9.75494e-12	1.02512e+11	1.48519e-04	5.15072e-11	4.29854e+08	6.38417e+04
3.45716e+04	-1.50000e+02	2.43938e+00	3.82031e-04	7.34764e-12	1.36098e+11	1.56610e-04	5.15090e-11	5.70687e+08	8.93752e+04
2.46940e+04	-1.50000e+02	2.43944e+00	3.78485e-04	5.19960e-12	1.92323e+11	1.55153e-04	5.15102e-11	8.06448e+08	1.25122e+05
1.76386e+04	-1.50000e+02	2.43951e+00	3.79844e-04	3.72734e-12	2.68288e+11	1.55705e-04	5.15117e-11	1.12499e+09	1.75166e+05
1.25990e+04	-1.50000e+02	2.43962e+00	4.11177e-04	2.88200e-12	3.46982e+11	1.68541e-04	5.15140e-11	1.45496e+09	2.45222e+05
8.99928e+03	-1.50000e+02	2.43967e+00	4.31560e-04	2.16062e-12	4.62831e+11	1.76892e-04	5.15152e-11	1.94074e+09	3.43303e+05
6.42805e+03	-1.50000e+02	2.43977e+00	4.46640e-04	1.59722e-12	6.26086e+11	1.83067e-04	5.15171e-11	2.62531e+09	4.80606e+05
4.59147e+03	-1.50000e+02	2.43984e+00	4.89205e-04	1.24960e-12	8.00254e+11	2.00507e-04	5.15187e-11	3.35563e+09	6.72828e+05
