EPDM_SkA1_MMA, 10.10.2024, 13:38
Diameter[mm] 3.000e+01  Thickness[mm] 1.923e+00  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	Rspec.[Ohms cm]	 Zs' [Ohms]	 Zs'' [Ohms]	  Phi [Deg]	  Cp' [F]	 Cp'' [F]
1.00000e+06	-7.00000e+01	2.42738e+00	-6.59296e-04	-2.72640e+09	-5.47230e+00	-2.01477e+04	-9.00156e+01	7.89940e-12	2.14555e-15
7.14286e+05	-7.00000e+01	2.42822e+00	-9.93774e-04	-2.53228e+09	-1.15399e+01	-2.81970e+04	-9.00234e+01	7.90216e-12	3.23404e-15
5.10204e+05	-7.00000e+01	2.42807e+00	-4.38802e-04	-8.02894e+09	-7.13451e+00	-3.94782e+04	-9.00104e+01	7.90167e-12	1.42799e-15
3.64432e+05	-7.00000e+01	2.42875e+00	2.03817e-04	2.41999e+10	4.63683e+00	-5.52540e+04	-8.99952e+01	7.90389e-12	-6.63283e-16
2.60308e+05	-7.00000e+01	2.42869e+00	6.73485e-04	1.02531e+10	2.14516e+01	-7.73576e+04	-8.99841e+01	7.90368e-12	-2.19172e-15
1.85934e+05	-7.00000e+01	2.42828e+00	6.70673e-04	1.44145e+10	2.99168e+01	-1.08319e+05	-8.99842e+01	7.90235e-12	-2.18257e-15
1.32810e+05	-7.00000e+01	2.42824e+00	9.04765e-04	1.49590e+10	5.65046e+01	-1.51649e+05	-8.99787e+01	7.90221e-12	-2.94437e-15
9.48645e+04	-7.00000e+01	2.42938e+00	9.62530e-04	1.96858e+10	8.40780e+01	-2.12209e+05	-8.99773e+01	7.90593e-12	-3.13236e-15
6.77604e+04	-7.00000e+01	2.42866e+00	1.29878e-03	2.04249e+10	1.58923e+02	-2.97181e+05	-8.99694e+01	7.90358e-12	-4.22660e-15
4.84003e+04	-7.00000e+01	2.42862e+00	1.10301e-03	3.36702e+10	1.88962e+02	-4.16060e+05	-8.99740e+01	7.90345e-12	-3.58951e-15
3.45716e+04	-7.00000e+01	2.43000e+00	1.18389e-03	4.39178e+10	2.83623e+02	-5.82153e+05	-8.99721e+01	7.90793e-12	-3.85272e-15
2.46940e+04	-7.00000e+01	2.42983e+00	1.21420e-03	5.99499e+10	4.07297e+02	-8.15072e+05	-8.99714e+01	7.90738e-12	-3.95138e-15
1.76386e+04	-7.00000e+01	2.42977e+00	1.17243e-03	8.69203e+10	5.50622e+02	-1.14113e+06	-8.99724e+01	7.90720e-12	-3.81543e-15
1.25990e+04	-7.00000e+01	2.42953e+00	1.14300e-03	1.24821e+11	7.51674e+02	-1.59774e+06	-8.99730e+01	7.90641e-12	-3.71966e-15
8.99928e+03	-7.00000e+01	2.43085e+00	1.19003e-03	1.67844e+11	1.09445e+03	-2.23562e+06	-8.99720e+01	7.91070e-12	-3.87270e-15
6.42805e+03	-7.00000e+01	2.43039e+00	1.15162e-03	2.42819e+11	1.48334e+03	-3.13046e+06	-8.99729e+01	7.90920e-12	-3.74771e-15
