12_2N_cast2_LITEN_VB33_7HNT_5KAT, 27.2.2015, 10:0
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	 Sig' [S/cm]	Rspec.[Ohms cm]	Tan(Delta) 	  Cp' [F]	 Cp'' [F]	 Zp' [Ohms]
1.00000e+06	-1.50000e+02	2.36434e+00	-6.06099e-04	-3.37188e-10	-2.96570e+09	-2.56351e-04	5.05037e-11	1.29467e-14	-1.22931e+07
7.14286e+05	-1.50000e+02	2.36591e+00	8.30012e-05	3.29827e-11	3.03190e+10	3.50821e-05	5.05374e-11	-1.77296e-15	1.25675e+08
5.10204e+05	-1.50000e+02	2.36623e+00	6.02425e-05	1.70992e-11	5.84822e+10	2.54593e-05	5.05442e-11	-1.28682e-15	2.42415e+08
3.64432e+05	-1.50000e+02	2.36640e+00	6.30674e-05	1.27864e-11	7.82078e+10	2.66512e-05	5.05477e-11	-1.34716e-15	3.24179e+08
2.60308e+05	-1.50000e+02	2.36648e+00	1.07623e-04	1.55855e-11	6.41621e+10	4.54781e-05	5.05495e-11	-2.29889e-15	2.65958e+08
1.85934e+05	-1.50000e+02	2.36663e+00	2.21572e-04	2.29194e-11	4.36311e+10	9.36236e-05	5.05526e-11	-4.73292e-15	1.80855e+08
1.32810e+05	-1.50000e+02	2.36683e+00	2.40549e-04	1.77732e-11	5.62645e+10	1.01634e-04	5.05569e-11	-5.13829e-15	2.33222e+08
9.48645e+04	-1.50000e+02	2.36692e+00	2.45786e-04	1.29715e-11	7.70920e+10	1.03842e-04	5.05589e-11	-5.25015e-15	3.19554e+08
6.77604e+04	-1.50000e+02	2.36698e+00	2.31795e-04	8.73795e-12	1.14443e+11	9.79287e-05	5.05602e-11	-4.95130e-15	4.74379e+08
4.84003e+04	-1.50000e+02	2.36699e+00	2.63287e-04	7.08935e-12	1.41057e+11	1.11233e-04	5.05603e-11	-5.62397e-15	5.84695e+08
3.45716e+04	-1.50000e+02	2.36704e+00	2.68192e-04	5.15816e-12	1.93868e+11	1.13303e-04	5.05614e-11	-5.72875e-15	8.03601e+08
2.46940e+04	-1.50000e+02	2.36709e+00	2.81720e-04	3.87025e-12	2.58382e+11	1.19015e-04	5.05625e-11	-6.01772e-15	1.07102e+09
1.76386e+04	-1.50000e+02	2.36716e+00	2.74788e-04	2.69644e-12	3.70859e+11	1.16083e-04	5.05641e-11	-5.86964e-15	1.53725e+09
