Dragonit_HP_peleta_vysoke_teploty, 6.2.2015, 8:27
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	 Sig' [S/cm]	Rspec.[Ohms cm]	Tan(Delta) 	  Cp' [F]	 Cp'' [F]	 Zp' [Ohms]
1.00000e+06	1.00000e+02	9.65337e+00	1.94211e+00	1.08045e-06	9.25545e+05	2.01184e-01	1.08625e-11	-2.18537e-12	7.28276e+04
7.14286e+05	1.00000e+02	1.00540e+01	2.10747e+00	8.37456e-07	1.19409e+06	2.09615e-01	1.13133e-11	-2.37144e-12	9.39586e+04
5.10204e+05	1.00000e+02	1.04775e+01	2.29729e+00	6.52062e-07	1.53360e+06	2.19260e-01	1.17898e-11	-2.58504e-12	1.20673e+05
3.64432e+05	1.00000e+02	1.09328e+01	2.51722e+00	5.10349e-07	1.95945e+06	2.30244e-01	1.23022e-11	-2.83252e-12	1.54181e+05
2.60308e+05	1.00000e+02	1.14226e+01	2.77191e+00	4.01417e-07	2.49118e+06	2.42669e-01	1.28533e-11	-3.11910e-12	1.96021e+05
1.85934e+05	1.00000e+02	1.19476e+01	3.07719e+00	3.18305e-07	3.14164e+06	2.57556e-01	1.34441e-11	-3.46262e-12	2.47204e+05
1.32810e+05	1.00000e+02	1.25245e+01	3.44056e+00	2.54209e-07	3.93378e+06	2.74706e-01	1.40933e-11	-3.87151e-12	3.09534e+05
9.48645e+04	1.00000e+02	1.31544e+01	3.88050e+00	2.04796e-07	4.88291e+06	2.94997e-01	1.48020e-11	-4.36656e-12	3.84218e+05
6.77604e+04	1.00000e+02	1.38398e+01	4.41693e+00	1.66504e-07	6.00585e+06	3.19147e-01	1.55733e-11	-4.97017e-12	4.72578e+05
4.84003e+04	1.00000e+02	1.46008e+01	5.07435e+00	1.36634e-07	7.31884e+06	3.47539e-01	1.64296e-11	-5.70994e-12	5.75892e+05
3.45716e+04	1.00000e+02	1.54532e+01	5.89067e+00	1.13296e-07	8.82646e+06	3.81194e-01	1.73888e-11	-6.62850e-12	6.94520e+05
2.46940e+04	1.00000e+02	1.64051e+01	6.90304e+00	9.48334e-08	1.05448e+07	4.20787e-01	1.84599e-11	-7.76768e-12	8.29730e+05
1.76386e+04	1.00000e+02	1.74802e+01	8.17271e+00	8.01971e-08	1.24693e+07	4.67540e-01	1.96697e-11	-9.19638e-12	9.81160e+05
1.25990e+04	1.00000e+02	1.87071e+01	9.77112e+00	6.84871e-08	1.46013e+07	5.22322e-01	2.10502e-11	-1.09950e-11	1.14892e+06
