PELETA_DRAGONIT_HP_4_max300C, 10.4.2015, 8:20
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	 Sig' [S/cm]	Rspec.[Ohms cm]	Tan(Delta) 	  Cp' [F]	 Cp'' [F]	 Zp' [Ohms]
1.00000e+06	1.50000e+02	7.52817e+00	7.65421e-01	4.25823e-07	2.34839e+06	1.01674e-01	7.49376e-12	-7.61923e-13	2.08886e+05
7.14286e+05	1.50000e+02	7.68967e+00	8.28314e-01	3.29152e-07	3.03811e+06	1.07718e-01	7.65453e-12	-8.24528e-13	2.70236e+05
5.10204e+05	1.50000e+02	7.86002e+00	9.01943e-01	2.56007e-07	3.90614e+06	1.14751e-01	7.82410e-12	-8.97821e-13	3.47445e+05
3.64432e+05	1.50000e+02	8.04766e+00	9.85272e-01	1.99757e-07	5.00609e+06	1.22430e-01	8.01088e-12	-9.80769e-13	4.45284e+05
2.60308e+05	1.50000e+02	8.24946e+00	1.07795e+00	1.56104e-07	6.40597e+06	1.30669e-01	8.21176e-12	-1.07302e-12	5.69802e+05
1.85934e+05	1.50000e+02	8.46875e+00	1.18295e+00	1.22365e-07	8.17230e+06	1.39684e-01	8.43004e-12	-1.17754e-12	7.26914e+05
1.32810e+05	1.50000e+02	8.70547e+00	1.30201e+00	9.62004e-08	1.03950e+07	1.49563e-01	8.66568e-12	-1.29606e-12	9.24617e+05
9.48645e+04	1.50000e+02	8.96787e+00	1.43945e+00	7.59678e-08	1.31635e+07	1.60512e-01	8.92689e-12	-1.43287e-12	1.17087e+06
6.77604e+04	1.50000e+02	9.24597e+00	1.59910e+00	6.02810e-08	1.65890e+07	1.72951e-01	9.20371e-12	-1.59179e-12	1.47556e+06
4.84003e+04	1.50000e+02	9.55119e+00	1.78599e+00	4.80901e-08	2.07943e+07	1.86991e-01	9.50754e-12	-1.77783e-12	1.84962e+06
3.45716e+04	1.50000e+02	9.89778e+00	2.00931e+00	3.86453e-08	2.58764e+07	2.03007e-01	9.85255e-12	-2.00013e-12	2.30166e+06
2.46940e+04	1.50000e+02	1.02678e+01	2.27347e+00	3.12328e-08	3.20177e+07	2.21417e-01	1.02209e-11	-2.26308e-12	2.84792e+06
1.76386e+04	1.50000e+02	1.06810e+01	2.59010e+00	2.54161e-08	3.93451e+07	2.42497e-01	1.06321e-11	-2.57826e-12	3.49969e+06
1.25990e+04	1.50000e+02	1.11429e+01	2.97236e+00	2.08337e-08	4.79992e+07	2.66749e-01	1.10920e-11	-2.95877e-12	4.26946e+06
8.99928e+03	1.50000e+02	1.16669e+01	3.44000e+00	1.72225e-08	5.80637e+07	2.94852e-01	1.16136e-11	-3.42428e-12	5.16468e+06
6.42805e+03	1.50000e+02	1.22468e+01	4.01336e+00	1.43521e-08	6.96761e+07	3.27706e-01	1.21908e-11	-3.99501e-12	6.19758e+06
4.59147e+03	1.50000e+02	1.29049e+01	4.72352e+00	1.20655e-08	8.28806e+07	3.66027e-01	1.28459e-11	-4.70194e-12	7.37211e+06
3.27962e+03	1.50000e+02	1.36590e+01	5.60884e+00	1.02335e-08	9.77179e+07	4.10633e-01	1.35966e-11	-5.58321e-12	8.69186e+06
2.34258e+03	1.50000e+02	1.45114e+01	6.71845e+00	8.75576e-09	1.14211e+08	4.62977e-01	1.44451e-11	-6.68775e-12	1.01589e+07
1.67328e+03	1.50000e+02	1.54876e+01	8.12222e+00	7.56086e-09	1.32260e+08	5.24433e-01	1.54168e-11	-8.08510e-12	1.17643e+07
1.19520e+03	1.50000e+02	1.66106e+01	9.91274e+00	6.59117e-09	1.51718e+08	5.96772e-01	1.65347e-11	-9.86744e-12	1.34951e+07
8.53712e+02	1.50000e+02	1.79124e+01	1.22127e+01	5.80031e-09	1.72405e+08	6.81800e-01	1.78305e-11	-1.21568e-11	1.53351e+07
6.09794e+02	1.50000e+02	1.94249e+01	1.51842e+01	5.15115e-09	1.94131e+08	7.81688e-01	1.93361e-11	-1.51148e-11	1.72677e+07
