17_LLDPE_BPD_3669_0HNT_0KAT, 16.12.2014, 15:5
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	 Sig' [S/cm]	Rspec.[Ohms cm]	Tan(Delta) 	  Cp' [F]	 Zp' [Ohms]	 Zp'' [Ohms]
1.00000e+07	-3.00000e+01	2.31106e+00	-1.59009e-02	-8.84606e-08	-1.13045e+07	-6.88032e-03	5.18801e-11	-4.45872e+04	3.06774e+02
7.14286e+06	-3.00000e+01	2.31988e+00	-1.22167e-02	-4.85462e-08	-2.05989e+07	-5.26609e-03	5.20780e-11	-8.12466e+04	4.27852e+02
5.10204e+06	-3.00000e+01	2.32184e+00	-5.70389e-03	-1.61899e-08	-6.17669e+07	-2.45662e-03	5.21220e-11	-2.43622e+05	5.98487e+02
3.64432e+06	-3.00000e+01	2.32665e+00	-1.03445e-02	-2.09727e-08	-4.76809e+07	-4.44610e-03	5.22300e-11	-1.88064e+05	8.36150e+02
2.60308e+06	-3.00000e+01	2.32267e+00	-7.51520e-03	-1.08832e-08	-9.18846e+07	-3.23559e-03	5.21406e-11	-3.62412e+05	1.17262e+03
1.85934e+06	-3.00000e+01	2.32173e+00	-1.09710e-03	-1.13484e-09	-8.81184e+08	-4.72534e-04	5.21195e-11	-3.47558e+06	1.64233e+03
1.32810e+06	-3.00000e+01	2.32388e+00	-8.00725e-04	-5.91622e-10	-1.69027e+09	-3.44563e-04	5.21679e-11	-6.66678e+06	2.29713e+03
9.48645e+05	-3.00000e+01	2.32465e+00	9.25381e-06	4.88375e-12	2.04761e+11	3.98074e-06	5.21850e-11	8.07620e+08	3.21492e+03
6.77604e+05	-3.00000e+01	2.32500e+00	-5.26006e-05	-1.98288e-11	-5.04317e+10	-2.26239e-05	5.21931e-11	-1.98914e+08	4.50020e+03
4.84003e+05	-3.00000e+01	2.32514e+00	-6.95918e-05	-1.87385e-11	-5.33661e+10	-2.99301e-05	5.21961e-11	-2.10487e+08	6.29991e+03
3.45716e+05	-3.00000e+01	2.32524e+00	-2.56720e-05	-4.93751e-12	-2.02531e+11	-1.10405e-05	5.21985e-11	-7.98827e+08	8.81948e+03
