BDS_PA12_MMA_B1, 26.10.2023, 13:59
Diameter[mm] 3.000e+01  Thickness[mm] 9.984e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	Rspec.[Ohms cm]	 Zs' [Ohms]	 Zs'' [Ohms]	  Phi [Deg]	  Cp' [F]	 Cp'' [F]
1.00000e+06	-2.00000e+01	2.70097e+00	3.48206e-02	5.16220e+07	1.21162e+02	-9.39835e+03	-8.92614e+01	1.69315e-11	-2.18280e-13
7.14286e+05	-2.00000e+01	2.70925e+00	3.36803e-02	7.47176e+07	1.63073e+02	-1.31176e+04	-8.92878e+01	1.69834e-11	-2.11132e-13
5.10204e+05	-2.00000e+01	2.71597e+00	3.36871e-02	1.04584e+08	2.27219e+02	-1.83192e+04	-8.92894e+01	1.70256e-11	-2.11174e-13
3.64432e+05	-2.00000e+01	2.72305e+00	3.38343e-02	1.45780e+08	3.17838e+02	-2.55802e+04	-8.92881e+01	1.70700e-11	-2.12097e-13
2.60308e+05	-2.00000e+01	2.72954e+00	3.43153e-02	2.01231e+08	4.49156e+02	-3.57271e+04	-8.92797e+01	1.71106e-11	-2.15112e-13
1.85934e+05	-2.00000e+01	2.73593e+00	3.53234e-02	2.73684e+08	6.44260e+02	-4.99005e+04	-8.92603e+01	1.71507e-11	-2.21431e-13
1.32810e+05	-2.00000e+01	2.74266e+00	3.67058e-02	3.68727e+08	9.32664e+02	-6.96886e+04	-8.92332e+01	1.71929e-11	-2.30097e-13
9.48645e+04	-2.00000e+01	2.75093e+00	3.85004e-02	4.92155e+08	1.36132e+03	-9.72690e+04	-8.91982e+01	1.72448e-11	-2.41347e-13
6.77604e+04	-2.00000e+01	2.75777e+00	4.08355e-02	6.49618e+08	2.01138e+03	-1.35836e+05	-8.91517e+01	1.72876e-11	-2.55985e-13
4.84003e+04	-2.00000e+01	2.76562e+00	4.35131e-02	8.53499e+08	2.98348e+03	-1.89625e+05	-8.90986e+01	1.73368e-11	-2.72770e-13
3.45716e+04	-2.00000e+01	2.77593e+00	4.68002e-02	1.11097e+09	4.45894e+03	-2.64480e+05	-8.90341e+01	1.74014e-11	-2.93376e-13
2.46940e+04	-2.00000e+01	2.78534e+00	5.04651e-02	1.44241e+09	6.68563e+03	-3.69003e+05	-8.89620e+01	1.74605e-11	-3.16350e-13
1.76386e+04	-2.00000e+01	2.79576e+00	5.44403e-02	1.87192e+09	1.00216e+04	-5.14653e+05	-8.88845e+01	1.75258e-11	-3.41270e-13
1.25990e+04	-2.00000e+01	2.80740e+00	5.86627e-02	2.43206e+09	1.49924e+04	-7.17487e+05	-8.88029e+01	1.75987e-11	-3.67739e-13
8.99928e+03	-2.00000e+01	2.82097e+00	6.31433e-02	3.16327e+09	2.23742e+04	-9.99583e+05	-8.87177e+01	1.76838e-11	-3.95826e-13
6.42805e+03	-2.00000e+01	2.83449e+00	6.75066e-02	4.14233e+09	3.31676e+04	-1.39265e+06	-8.86357e+01	1.77685e-11	-4.23178e-13
4.59147e+03	-2.00000e+01	2.84931e+00	7.17471e-02	5.45651e+09	4.88359e+04	-1.93944e+06	-8.85576e+01	1.78615e-11	-4.49760e-13
3.27962e+03	-2.00000e+01	2.86685e+00	7.56009e-02	7.24971e+09	7.11596e+04	-2.69844e+06	-8.84894e+01	1.79714e-11	-4.73919e-13
2.34258e+03	-2.00000e+01	2.88372e+00	7.89559e-02	9.71831e+09	1.02825e+05	-3.75551e+06	-8.84316e+01	1.80772e-11	-4.94951e-13
1.67328e+03	-2.00000e+01	2.90132e+00	8.18182e-02	1.31297e+10	1.47363e+05	-5.22558e+06	-8.83847e+01	1.81875e-11	-5.12893e-13
1.19520e+03	-2.00000e+01	2.91937e+00	8.41773e-02	1.78664e+10	2.09632e+05	-7.27031e+06	-8.83484e+01	1.83007e-11	-5.27682e-13
8.53712e+02	-2.00000e+01	2.93816e+00	8.60368e-02	2.44723e+10	2.96137e+05	-1.01131e+07	-8.83227e+01	1.84184e-11	-5.39338e-13
6.09794e+02	-2.00000e+01	2.95716e+00	8.75476e-02	3.36700e+10	4.16462e+05	-1.40671e+07	-8.83042e+01	1.85375e-11	-5.48809e-13
4.35567e+02	-2.00000e+01	2.97625e+00	8.88389e-02	4.64528e+10	5.84070e+05	-1.95673e+07	-8.82903e+01	1.86572e-11	-5.56904e-13
3.11119e+02	-2.00000e+01	2.99542e+00	9.00205e-02	6.41804e+10	8.17992e+05	-2.72186e+07	-8.82786e+01	1.87774e-11	-5.64311e-13
2.22228e+02	-2.00000e+01	3.01469e+00	9.12320e-02	8.86593e+10	1.14580e+06	-3.78620e+07	-8.82666e+01	1.88982e-11	-5.71906e-13
1.58734e+02	-2.00000e+01	3.03415e+00	9.25894e-02	1.22303e+11	1.60714e+06	-5.26660e+07	-8.82521e+01	1.90202e-11	-5.80415e-13
1.13382e+02	-2.00000e+01	3.05383e+00	9.41323e-02	1.68418e+11	2.25806e+06	-7.32559e+07	-8.82345e+01	1.91435e-11	-5.90087e-13
8.09869e+01	-2.00000e+01	3.07382e+00	9.58590e-02	2.31538e+11	3.17747e+06	-1.01889e+08	-8.82138e+01	1.92688e-11	-6.00911e-13
5.78478e+01	-2.00000e+01	3.09431e+00	9.78028e-02	3.17711e+11	4.47865e+06	-1.41696e+08	-8.81896e+01	1.93973e-11	-6.13096e-13
4.13199e+01	-2.00000e+01	3.11514e+00	1.00083e-01	4.34664e+11	6.33050e+06	-1.97042e+08	-8.81599e+01	1.95279e-11	-6.27387e-13
2.95142e+01	-2.00000e+01	3.13639e+00	1.02416e-01	5.94665e+11	8.94655e+06	-2.73980e+08	-8.81297e+01	1.96611e-11	-6.42014e-13
2.10816e+01	-2.00000e+01	3.15841e+00	1.04901e-01	8.12807e+11	1.26504e+07	-3.80884e+08	-8.80977e+01	1.97991e-11	-6.57593e-13
1.50583e+01	-2.00000e+01	3.18101e+00	1.07577e-01	1.10962e+12	1.79045e+07	-5.29427e+08	-8.80631e+01	1.99408e-11	-6.74369e-13
1.07559e+01	-2.00000e+01	3.20442e+00	1.10221e-01	1.51621e+12	2.53076e+07	-7.35755e+08	-8.80300e+01	2.00875e-11	-6.90944e-13
7.68279e+00	-2.00000e+01	3.22855e+00	1.12846e-01	2.07332e+12	3.57327e+07	-1.02232e+09	-8.79982e+01	2.02388e-11	-7.07397e-13
5.48770e+00	-2.00000e+01	3.25303e+00	1.15079e-01	2.84633e+12	5.02489e+07	-1.42043e+09	-8.79740e+01	2.03923e-11	-7.21393e-13
3.91979e+00	-2.00000e+01	3.27800e+00	1.17881e-01	3.89012e+12	7.09652e+07	-1.97338e+09	-8.79405e+01	2.05488e-11	-7.38962e-13
2.79985e+00	-2.00000e+01	3.30364e+00	1.19821e-01	5.35801e+12	9.94221e+07	-2.74122e+09	-8.79228e+01	2.07095e-11	-7.51120e-13
1.99989e+00	-2.00000e+01	3.33012e+00	1.21393e-01	7.40405e+12	1.38782e+08	-3.80715e+09	-8.79123e+01	2.08755e-11	-7.60978e-13
1.42850e+00	-2.00000e+01	3.35646e+00	1.23210e-01	1.02128e+13	1.94116e+08	-5.28808e+09	-8.78977e+01	2.10406e-11	-7.72365e-13
1.02035e+00	-2.00000e+01	3.38440e+00	1.23637e-01	1.42486e+13	2.68226e+08	-7.34230e+09	-8.79078e+01	2.12158e-11	-7.75045e-13
7.28824e-01	-2.00000e+01	3.41106e+00	1.25058e-01	1.97214e+13	3.73910e+08	-1.01988e+10	-8.79003e+01	2.13829e-11	-7.83947e-13
5.20588e-01	-2.00000e+01	3.43874e+00	1.25433e-01	2.75274e+13	5.16635e+08	-1.41635e+10	-8.79110e+01	2.15564e-11	-7.86299e-13
5.00000e-01	-2.00000e+01	3.44139e+00	1.25357e-01	2.86782e+13	5.36760e+08	-1.47355e+10	-8.79138e+01	2.15730e-11	-7.85826e-13
1.00000e+06	-1.50000e+01	2.71326e+00	3.67399e-02	4.89252e+07	1.26683e+02	-9.35559e+03	-8.92242e+01	1.70086e-11	-2.30311e-13
7.14286e+05	-1.50000e+01	2.72195e+00	3.56915e-02	7.05073e+07	1.71199e+02	-1.30562e+04	-8.92488e+01	1.70631e-11	-2.23739e-13
5.10204e+05	-1.50000e+01	2.72905e+00	3.61282e-02	9.75171e+07	2.41349e+02	-1.82310e+04	-8.92415e+01	1.71076e-11	-2.26477e-13
3.64432e+05	-1.50000e+01	2.73657e+00	3.68174e-02	1.33968e+08	3.42442e+02	-2.54531e+04	-8.92292e+01	1.71547e-11	-2.30797e-13
2.60308e+05	-1.50000e+01	2.74365e+00	3.79688e-02	1.81868e+08	4.91861e+02	-3.55421e+04	-8.92071e+01	1.71991e-11	-2.38015e-13
1.85934e+05	-1.50000e+01	2.75085e+00	3.96905e-02	2.43570e+08	7.16055e+02	-4.96279e+04	-8.91734e+01	1.72442e-11	-2.48808e-13
1.32810e+05	-1.50000e+01	2.75855e+00	4.18155e-02	3.23669e+08	1.05023e+03	-6.92835e+04	-8.91315e+01	1.72925e-11	-2.62129e-13
9.48645e+04	-1.50000e+01	2.76800e+00	4.44211e-02	4.26558e+08	1.55125e+03	-9.66630e+04	-8.90806e+01	1.73518e-11	-2.78462e-13
6.77604e+04	-1.50000e+01	2.77619e+00	4.75413e-02	5.57987e+08	2.31053e+03	-1.34924e+05	-8.90189e+01	1.74031e-11	-2.98022e-13
4.84003e+04	-1.50000e+01	2.78563e+00	5.10208e-02	7.27907e+08	3.44787e+03	-1.88246e+05	-8.89507e+01	1.74623e-11	-3.19834e-13
3.45716e+04	-1.50000e+01	2.79783e+00	5.50630e-02	9.44259e+08	5.16382e+03	-2.62382e+05	-8.88725e+01	1.75388e-11	-3.45173e-13
2.46940e+04	-1.50000e+01	2.80930e+00	5.93682e-02	1.22610e+09	7.73064e+03	-3.65813e+05	-8.87894e+01	1.76106e-11	-3.72161e-13
1.76386e+04	-1.50000e+01	2.82194e+00	6.38781e-02	1.59535e+09	1.15402e+04	-5.09810e+05	-8.87033e+01	1.76899e-11	-4.00432e-13
1.25990e+04	-1.50000e+01	2.83596e+00	6.83604e-02	2.08704e+09	1.71182e+04	-7.10158e+05	-8.86192e+01	1.77778e-11	-4.28531e-13
8.99928e+03	-1.50000e+01	2.85208e+00	7.28400e-02	2.74216e+09	2.52464e+04	-9.88532e+05	-8.85370e+01	1.78788e-11	-4.56612e-13
6.42805e+03	-1.50000e+01	2.86804e+00	7.69908e-02	3.63205e+09	3.69418e+04	-1.37615e+06	-8.84623e+01	1.79789e-11	-4.82632e-13
4.59147e+03	-1.50000e+01	2.88498e+00	8.07720e-02	4.84684e+09	5.36199e+04	-1.91517e+06	-8.83963e+01	1.80851e-11	-5.06335e-13
3.27962e+03	-1.50000e+01	2.90469e+00	8.39046e-02	6.53223e+09	7.69207e+04	-2.66292e+06	-8.83454e+01	1.82086e-11	-5.25973e-13
2.34258e+03	-1.50000e+01	2.92325e+00	8.65485e-02	8.86576e+09	1.09672e+05	-3.70425e+06	-8.83041e+01	1.83250e-11	-5.42546e-13
1.67328e+03	-1.50000e+01	2.94234e+00	8.87564e-02	1.21033e+10	1.55416e+05	-5.15214e+06	-8.82722e+01	1.84446e-11	-5.56387e-13
1.19520e+03	-1.50000e+01	2.96163e+00	9.05425e-02	1.66104e+10	2.19073e+05	-7.16584e+06	-8.82489e+01	1.85656e-11	-5.67584e-13
8.53712e+02	-1.50000e+01	2.98151e+00	9.20931e-02	2.28630e+10	3.07802e+05	-9.96509e+06	-8.82308e+01	1.86902e-11	-5.77303e-13
6.09794e+02	-1.50000e+01	3.00151e+00	9.35030e-02	3.15255e+10	4.31702e+05	-1.38579e+07	-8.82157e+01	1.88156e-11	-5.86142e-13
4.35567e+02	-1.50000e+01	3.02165e+00	9.49351e-02	4.34699e+10	6.05478e+05	-1.92715e+07	-8.82005e+01	1.89418e-11	-5.95119e-13
3.11119e+02	-1.50000e+01	3.04200e+00	9.64097e-02	5.99270e+10	8.49342e+05	-2.67991e+07	-8.81847e+01	1.90694e-11	-6.04363e-13
2.22228e+02	-1.50000e+01	3.06253e+00	9.80902e-02	8.24605e+10	1.19361e+06	-3.72665e+07	-8.81655e+01	1.91981e-11	-6.14897e-13
1.58734e+02	-1.50000e+01	3.08345e+00	9.99500e-02	1.13297e+11	1.67968e+06	-5.18178e+07	-8.81434e+01	1.93292e-11	-6.26556e-13
1.13382e+02	-1.50000e+01	3.10480e+00	1.02045e-01	1.55359e+11	2.36786e+06	-7.20438e+07	-8.81175e+01	1.94631e-11	-6.39690e-13
8.09869e+01	-1.50000e+01	3.12661e+00	1.04309e-01	2.12781e+11	3.34134e+06	-1.00155e+08	-8.80892e+01	1.95998e-11	-6.53882e-13
5.78478e+01	-1.50000e+01	3.14913e+00	1.06768e-01	2.91034e+11	4.71971e+06	-1.39209e+08	-8.80582e+01	1.97409e-11	-6.69294e-13
4.13199e+01	-1.50000e+01	3.17206e+00	1.09434e-01	3.97522e+11	6.67474e+06	-1.93475e+08	-8.80241e+01	1.98847e-11	-6.86006e-13
2.95142e+01	-1.50000e+01	3.19586e+00	1.12117e-01	5.43213e+11	9.43130e+06	-2.68837e+08	-8.79908e+01	2.00339e-11	-7.02825e-13
2.10816e+01	-1.50000e+01	3.22008e+00	1.14844e-01	7.42438e+11	1.33218e+07	-3.73526e+08	-8.79574e+01	2.01857e-11	-7.19921e-13
1.50583e+01	-1.50000e+01	3.24524e+00	1.17387e-01	1.01690e+12	1.87683e+07	-5.18863e+08	-8.79284e+01	2.03434e-11	-7.35863e-13
1.07559e+01	-1.50000e+01	3.27099e+00	1.19911e-01	1.39368e+12	2.64189e+07	-7.20665e+08	-8.79005e+01	2.05048e-11	-7.51688e-13
