8B_20c, 24.10.2017, 9:11
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Eps'  	 Eps'' 	Tan(Delta) 
1.00000e+06	2.19398e+00	4.58541e-03	2.08999e-03
7.14286e+05	2.19681e+00	5.12522e-03	2.33303e-03
5.10204e+05	2.19800e+00	5.13158e-03	2.33466e-03
3.64432e+05	2.19921e+00	5.10934e-03	2.32326e-03
2.60308e+05	2.20049e+00	5.11113e-03	2.32273e-03
1.85934e+05	2.20155e+00	5.14119e-03	2.33526e-03
1.32810e+05	2.20256e+00	5.12138e-03	2.32519e-03
9.48645e+04	2.20360e+00	5.07972e-03	2.30519e-03
6.77604e+04	2.20468e+00	5.08798e-03	2.30781e-03
4.84003e+04	2.20580e+00	5.09124e-03	2.30811e-03
3.45716e+04	2.20688e+00	5.11750e-03	2.31888e-03
2.46940e+04	2.20799e+00	5.14877e-03	2.33188e-03
1.76386e+04	2.20908e+00	5.18101e-03	2.34533e-03
1.25990e+04	2.21027e+00	5.26249e-03	2.38093e-03
8.99928e+03	2.21138e+00	5.33102e-03	2.41072e-03
6.42805e+03	2.21260e+00	5.42438e-03	2.45159e-03
4.59147e+03	2.21368e+00	5.47580e-03	2.47362e-03
3.27962e+03	2.21488e+00	5.64011e-03	2.54647e-03
2.34258e+03	2.21612e+00	5.76500e-03	2.60140e-03
1.67328e+03	2.21735e+00	5.90552e-03	2.66332e-03
1.19520e+03	2.21866e+00	6.03746e-03	2.72122e-03
8.53712e+02	2.21999e+00	6.16658e-03	2.77776e-03
6.09794e+02	2.22137e+00	6.28684e-03	2.83017e-03
4.35567e+02	2.22275e+00	6.40046e-03	2.87952e-03
3.11119e+02	2.22417e+00	6.51268e-03	2.92814e-03
2.22228e+02	2.22563e+00	6.59275e-03	2.96220e-03
1.58734e+02	2.22706e+00	6.68359e-03	3.00108e-03
1.13382e+02	2.22861e+00	6.87193e-03	3.08350e-03
8.09869e+01	2.23022e+00	6.71334e-03	3.01017e-03
5.78478e+01	2.23148e+00	6.66875e-03	2.98849e-03
4.13199e+01	2.23297e+00	6.63905e-03	2.97319e-03
2.95142e+01	2.23444e+00	6.71116e-03	3.00351e-03
2.10816e+01	2.23608e+00	6.55577e-03	2.93181e-03
1.50583e+01	2.23734e+00	6.45374e-03	2.88456e-03
1.07559e+01	2.23896e+00	6.27406e-03	2.80222e-03
7.68279e+00	2.24032e+00	6.24515e-03	2.78761e-03
5.48770e+00	2.24154e+00	6.17129e-03	2.75315e-03
3.91979e+00	2.24284e+00	6.17014e-03	2.75104e-03
2.79985e+00	2.24423e+00	5.94397e-03	2.64855e-03
1.99989e+00	2.24556e+00	6.07490e-03	2.70529e-03
1.42850e+00	2.24656e+00	6.03606e-03	2.68680e-03
1.02035e+00	2.24831e+00	5.92296e-03	2.63440e-03
7.28824e-01	2.24919e+00	5.32138e-03	2.36591e-03
5.20588e-01	2.25104e+00	5.20758e-03	2.31341e-03
5.00000e-01	2.25155e+00	5.38746e-03	2.39278e-03
