PVC_MMA_B1, 17.10.2024, 13:50
Diameter[mm] 3.000e+01  Thickness[mm] 9.072e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	Rspec.[Ohms cm]	 Zs' [Ohms]	 Zs'' [Ohms]	  Phi [Deg]	  Cp' [F]	 Cp'' [F]
1.00000e+06	-8.00000e+01	3.04681e+00	9.92707e-03	1.81071e+08	2.46699e+01	-7.57167e+03	-8.98133e+01	2.10196e-11	-6.84857e-14
7.14286e+05	-8.00000e+01	3.04942e+00	1.03236e-02	2.43763e+08	3.58560e+01	-1.05913e+04	-8.98060e+01	2.10376e-11	-7.12213e-14
5.10204e+05	-8.00000e+01	3.05172e+00	1.07769e-02	3.26915e+08	5.23234e+01	-1.48166e+04	-8.97977e+01	2.10534e-11	-7.43483e-14
3.64432e+05	-8.00000e+01	3.05435e+00	1.11519e-02	4.42291e+08	7.56709e+01	-2.07253e+04	-8.97908e+01	2.10716e-11	-7.69353e-14
2.60308e+05	-8.00000e+01	3.05686e+00	1.14773e-02	6.01648e+08	1.08852e+02	-2.89916e+04	-8.97849e+01	2.10889e-11	-7.91807e-14
1.85934e+05	-8.00000e+01	3.05986e+00	1.18080e-02	8.18716e+08	1.56477e+02	-4.05485e+04	-8.97789e+01	2.11096e-11	-8.14622e-14
1.32810e+05	-8.00000e+01	3.06235e+00	1.19811e-02	1.12964e+09	2.21917e+02	-5.67215e+04	-8.97758e+01	2.11268e-11	-8.26565e-14
9.48645e+04	-8.00000e+01	3.06493e+00	1.20909e-02	1.56715e+09	3.13001e+02	-7.93432e+04	-8.97740e+01	2.11446e-11	-8.34134e-14
6.77604e+04	-8.00000e+01	3.06769e+00	1.21204e-02	2.18867e+09	4.38482e+02	-1.10981e+05	-8.97736e+01	2.11636e-11	-8.36169e-14
4.84003e+04	-8.00000e+01	3.07029e+00	1.20636e-02	3.07856e+09	6.09964e+02	-1.55242e+05	-8.97749e+01	2.11816e-11	-8.32250e-14
3.45716e+04	-8.00000e+01	3.07293e+00	1.19528e-02	4.34994e+09	8.44651e+02	-2.17151e+05	-8.97771e+01	2.11998e-11	-8.24606e-14
2.46940e+04	-8.00000e+01	3.07553e+00	1.17735e-02	6.18265e+09	1.16281e+03	-3.03756e+05	-8.97807e+01	2.12177e-11	-8.12237e-14
1.76386e+04	-8.00000e+01	3.07820e+00	1.15408e-02	8.83018e+09	1.59300e+03	-4.24889e+05	-8.97852e+01	2.12361e-11	-7.96189e-14
1.25990e+04	-8.00000e+01	3.08059e+00	1.12484e-02	1.26837e+10	2.17032e+03	-5.94383e+05	-8.97908e+01	2.12526e-11	-7.76014e-14
8.99928e+03	-8.00000e+01	3.08294e+00	1.09717e-02	1.82049e+10	2.95918e+03	-8.31501e+05	-8.97961e+01	2.12689e-11	-7.56925e-14
6.42805e+03	-8.00000e+01	3.08538e+00	1.06000e-02	2.63807e+10	3.99619e+03	-1.16319e+06	-8.98032e+01	2.12856e-11	-7.31281e-14
4.59147e+03	-8.00000e+01	3.08760e+00	1.02455e-02	3.82109e+10	5.39978e+03	-1.62729e+06	-8.98099e+01	2.13010e-11	-7.06823e-14
3.27962e+03	-8.00000e+01	3.08963e+00	9.88825e-03	5.54278e+10	7.28652e+03	-2.27671e+06	-8.98166e+01	2.13150e-11	-6.82179e-14
2.34258e+03	-8.00000e+01	3.09165e+00	9.54609e-03	8.03803e+10	9.83528e+03	-3.18531e+06	-8.98231e+01	2.13289e-11	-6.58573e-14
1.67328e+03	-8.00000e+01	3.09371e+00	9.17593e-03	1.17072e+11	1.32179e+04	-4.45647e+06	-8.98301e+01	2.13431e-11	-6.33037e-14
