silikon_Elkem_vzMMA, 20.10.2022, 16:8
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	Rspec.[Ohms cm]	 Zs' [Ohms]	 Zs'' [Ohms]	  Phi [Deg]	  Cp' [F]	 Cp'' [F]
1.00000e+06	-1.20000e+02	3.24928e+00	4.07461e-03	4.41148e+08	1.58969e+01	-1.26769e+04	-8.99282e+01	1.25547e-11	-1.57437e-14
7.14286e+05	-1.20000e+02	3.25019e+00	3.46723e-03	7.25798e+08	1.89275e+01	-1.77427e+04	-8.99389e+01	1.25582e-11	-1.33969e-14
5.10204e+05	-1.20000e+02	3.25141e+00	4.04873e-03	8.70177e+08	3.09194e+01	-2.48304e+04	-8.99287e+01	1.25630e-11	-1.56437e-14
3.64432e+05	-1.20000e+02	3.25306e+00	5.09732e-03	9.67638e+08	5.44429e+01	-3.47449e+04	-8.99102e+01	1.25693e-11	-1.96953e-14
2.60308e+05	-1.20000e+02	3.25400e+00	5.56173e-03	1.24158e+09	8.31162e+01	-4.86288e+04	-8.99021e+01	1.25730e-11	-2.14897e-14
1.85934e+05	-1.20000e+02	3.25253e+00	6.22283e-03	1.55354e+09	1.30312e+02	-6.81109e+04	-8.98904e+01	1.25673e-11	-2.40441e-14
1.32810e+05	-1.20000e+02	3.25313e+00	6.68774e-03	2.02376e+09	1.95994e+02	-9.53377e+04	-8.98822e+01	1.25696e-11	-2.58404e-14
9.48645e+04	-1.20000e+02	3.25598e+00	7.02597e-03	2.69687e+09	2.87764e+02	-1.33356e+05	-8.98764e+01	1.25806e-11	-2.71473e-14
6.77604e+04	-1.20000e+02	3.25665e+00	7.73159e-03	3.43104e+09	4.43147e+02	-1.86660e+05	-8.98640e+01	1.25832e-11	-2.98737e-14
4.84003e+04	-1.20000e+02	3.25967e+00	8.59494e-03	4.32096e+09	6.88407e+02	-2.61081e+05	-8.98489e+01	1.25949e-11	-3.32096e-14
3.45716e+04	-1.20000e+02	3.25954e+00	8.85654e-03	5.87066e+09	9.93181e+02	-3.65528e+05	-8.98443e+01	1.25944e-11	-3.42204e-14
2.46940e+04	-1.20000e+02	3.26240e+00	9.77877e-03	7.44381e+09	1.53255e+03	-5.11290e+05	-8.98283e+01	1.26054e-11	-3.77837e-14
