TPU_70A_Recreus_teplota, 14.9.2023, 12:39
Diameter[mm] 3.000e+01  Thickness[mm] 9.058e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	Rspec.[Ohms cm]	 Zs' [Ohms]	 Zs'' [Ohms]	  Phi [Deg]	  Cp' [F]	 Cp'' [F]
1.00000e+06	2.00000e+01	5.73159e+00	5.15502e-01	3.48690e+06	3.58552e+02	-3.98655e+03	-8.48606e+01	3.96027e-11	-3.56189e-12
7.14286e+05	2.00000e+01	5.85024e+00	4.93105e-01	5.10340e+06	4.61334e+02	-5.47331e+03	-8.51820e+01	4.04225e-11	-3.40713e-12
5.10204e+05	2.00000e+01	5.95820e+00	4.65127e-01	7.57452e+06	5.87936e+02	-7.53136e+03	-8.55363e+01	4.11684e-11	-3.21382e-12
3.64432e+05	2.00000e+01	6.05947e+00	4.33840e-01	1.13691e+07	7.43011e+02	-1.03777e+04	-8.59048e+01	4.18682e-11	-2.99764e-12
2.60308e+05	2.00000e+01	6.15077e+00	4.00998e-01	1.72203e+07	9.33950e+02	-1.43255e+04	-8.62699e+01	4.24990e-11	-2.77071e-12
1.85934e+05	2.00000e+01	6.23353e+00	3.67880e-01	2.62787e+07	1.16880e+03	-1.98046e+04	-8.66225e+01	4.30709e-11	-2.54189e-12
1.32810e+05	2.00000e+01	6.30695e+00	3.34865e-01	4.04175e+07	1.45595e+03	-2.74219e+04	-8.69608e+01	4.35781e-11	-2.31376e-12
9.48645e+04	2.00000e+01	6.37246e+00	3.03282e-01	6.24770e+07	1.80932e+03	-3.80169e+04	-8.72752e+01	4.40308e-11	-2.09554e-12
6.77604e+04	2.00000e+01	6.43131e+00	2.73852e-01	9.68679e+07	2.24659e+03	-5.27605e+04	-8.75618e+01	4.44374e-11	-1.89219e-12
4.84003e+04	2.00000e+01	6.48261e+00	2.46990e-01	1.50364e+08	2.79302e+03	-7.33066e+04	-8.78181e+01	4.47919e-11	-1.70659e-12
3.45716e+04	2.00000e+01	6.52863e+00	2.23002e-01	2.33154e+08	3.48184e+03	-1.01935e+05	-8.80437e+01	4.51099e-11	-1.54084e-12
2.46940e+04	2.00000e+01	6.56976e+00	2.01864e-01	3.60596e+08	4.35842e+03	-1.41847e+05	-8.82401e+01	4.53940e-11	-1.39479e-12
1.76386e+04	2.00000e+01	6.60676e+00	1.83458e-01	5.55484e+08	5.48443e+03	-1.97508e+05	-8.84094e+01	4.56497e-11	-1.26761e-12
1.25990e+04	2.00000e+01	6.64067e+00	1.67758e-01	8.50457e+08	6.95053e+03	-2.75135e+05	-8.85529e+01	4.58840e-11	-1.15913e-12
8.99928e+03	2.00000e+01	6.67140e+00	1.54328e-01	1.29425e+09	8.87034e+03	-3.83455e+05	-8.86748e+01	4.60963e-11	-1.06633e-12
6.42805e+03	2.00000e+01	6.70015e+00	1.43251e-01	1.95206e+09	1.14293e+04	-5.34574e+05	-8.87752e+01	4.62950e-11	-9.89800e-13
4.59147e+03	2.00000e+01	6.72666e+00	1.33980e-01	2.92199e+09	1.48487e+04	-7.45500e+05	-8.88589e+01	4.64781e-11	-9.25741e-13
3.27962e+03	2.00000e+01	6.75152e+00	1.26653e-01	4.32746e+09	1.95076e+04	-1.03990e+06	-8.89253e+01	4.66500e-11	-8.75111e-13
2.34258e+03	2.00000e+01	6.77527e+00	1.20894e-01	6.34701e+09	2.58875e+04	-1.45081e+06	-8.89778e+01	4.68141e-11	-8.35325e-13
1.67328e+03	2.00000e+01	6.79784e+00	1.16839e-01	9.19420e+09	3.47955e+04	-2.02444e+06	-8.90153e+01	4.69700e-11	-8.07308e-13
1.19520e+03	2.00000e+01	6.81971e+00	1.14421e-01	1.31439e+10	4.74005e+04	-2.82516e+06	-8.90388e+01	4.71211e-11	-7.90598e-13
8.53712e+02	2.00000e+01	6.84101e+00	1.13774e-01	1.85061e+10	6.55756e+04	-3.94293e+06	-8.90472e+01	4.72683e-11	-7.86127e-13
6.09794e+02	2.00000e+01	6.86202e+00	1.15026e-01	2.56266e+10	9.22482e+04	-5.50317e+06	-8.90397e+01	4.74135e-11	-7.94779e-13
4.35567e+02	2.00000e+01	6.88297e+00	1.18395e-01	3.48562e+10	1.32121e+05	-7.68089e+06	-8.90145e+01	4.75582e-11	-8.18059e-13
3.11119e+02	2.00000e+01	6.90396e+00	1.24106e-01	4.65535e+10	1.92707e+05	-1.07203e+07	-8.89702e+01	4.77032e-11	-8.57513e-13
2.22228e+02	2.00000e+01	6.92501e+00	1.32690e-01	6.09584e+10	2.86688e+05	-1.49621e+07	-8.89023e+01	4.78487e-11	-9.16827e-13
1.58734e+02	2.00000e+01	6.94591e+00	1.45154e-01	7.80134e+10	4.36398e+05	-2.08824e+07	-8.88028e+01	4.79930e-11	-1.00295e-12
1.13382e+02	2.00000e+01	6.96670e+00	1.63124e-01	9.71875e+10	6.82421e+05	-2.91449e+07	-8.86587e+01	4.81367e-11	-1.12711e-12
8.09869e+01	2.00000e+01	6.98765e+00	1.88641e-01	1.17658e+11	1.09803e+06	-4.06732e+07	-8.84536e+01	4.82815e-11	-1.30342e-12
5.78478e+01	2.00000e+01	7.00888e+00	2.25156e-01	1.38007e+11	1.82315e+06	-5.67528e+07	-8.81600e+01	4.84282e-11	-1.55572e-12
4.13199e+01	2.00000e+01	7.03087e+00	2.75799e-01	1.57731e+11	3.10541e+06	-7.91653e+07	-8.77536e+01	4.85801e-11	-1.90565e-12
2.95142e+01	2.00000e+01	7.05397e+00	3.46459e-01	1.75787e+11	5.42099e+06	-1.10372e+08	-8.71881e+01	4.87397e-11	-2.39388e-12
2.10816e+01	2.00000e+01	7.07880e+00	4.44500e-01	1.91821e+11	9.65407e+06	-1.53744e+08	-8.64069e+01	4.89113e-11	-3.07129e-12
1.50583e+01	2.00000e+01	7.10638e+00	5.80207e-01	2.05737e+11	1.74581e+07	-2.13827e+08	-8.53324e+01	4.91018e-11	-4.00896e-12
1.07559e+01	2.00000e+01	7.13719e+00	7.67938e-01	2.17619e+11	3.19152e+07	-2.96618e+08	-8.38588e+01	4.93147e-11	-5.30610e-12
7.68279e+00	2.00000e+01	7.17301e+00	1.02656e+00	2.27913e+11	5.86174e+07	-4.09586e+08	-8.18555e+01	4.95623e-11	-7.09303e-12
5.48770e+00	2.00000e+01	7.21725e+00	1.38478e+00	2.36537e+11	1.07626e+08	-5.60928e+08	-7.91386e+01	4.98679e-11	-9.56821e-12
3.91979e+00	2.00000e+01	7.27231e+00	1.87752e+00	2.44244e+11	1.95580e+08	-7.57552e+08	-7.55239e+01	5.02483e-11	-1.29728e-11
2.79985e+00	2.00000e+01	7.33999e+00	2.55610e+00	2.51165e+11	3.48106e+08	-9.99607e+08	-7.07997e+01	5.07160e-11	-1.76615e-11
1.99989e+00	2.00000e+01	7.43205e+00	3.49032e+00	2.57513e+11	5.96288e+08	-1.26969e+09	-6.48438e+01	5.13521e-11	-2.41165e-11
1.42850e+00	2.00000e+01	7.57221e+00	4.79165e+00	2.62607e+11	9.62212e+08	-1.52058e+09	-5.76746e+01	5.23205e-11	-3.31081e-11
1.02035e+00	2.00000e+01	7.74914e+00	6.57271e+00	2.68025e+11	1.43706e+09	-1.69428e+09	-4.96959e+01	5.35430e-11	-4.54144e-11
7.28824e-01	2.00000e+01	7.99566e+00	9.00882e+00	2.73767e+11	1.96237e+09	-1.74167e+09	-4.15902e+01	5.52464e-11	-6.22468e-11
5.20588e-01	2.00000e+01	8.41135e+00	1.23450e+01	2.79694e+11	2.44777e+09	-1.66780e+09	-3.42687e+01	5.81186e-11	-8.52986e-11
5.00000e-01	2.00000e+01	8.47400e+00	1.28240e+01	2.80335e+11	2.50050e+09	-1.65231e+09	-3.34564e+01	5.85515e-11	-8.86080e-11
1.00000e+06	2.50000e+01	5.82349e+00	4.78539e-01	3.75624e+06	3.22849e+02	-3.92884e+03	-8.53023e+01	4.02377e-11	-3.30649e-12
7.14286e+05	2.50000e+01	5.93170e+00	4.49375e-01	5.60002e+06	4.09510e+02	-5.40548e+03	-8.56676e+01	4.09853e-11	-3.10498e-12
5.10204e+05	2.50000e+01	6.02719e+00	4.16583e-01	8.45718e+06	5.15263e+02	-7.45490e+03	-8.60462e+01	4.16451e-11	-2.87840e-12
3.64432e+05	2.50000e+01	6.11497e+00	3.82213e-01	1.29047e+07	6.43544e+02	-1.02960e+04	-8.64234e+01	4.22517e-11	-2.64092e-12
2.60308e+05	2.50000e+01	6.19261e+00	3.48306e-01	1.98254e+07	8.01169e+02	-1.42442e+04	-8.67808e+01	4.27881e-11	-2.40664e-12
1.85934e+05	2.50000e+01	6.26187e+00	3.15798e-01	3.06127e+07	9.95196e+02	-1.97335e+04	-8.71129e+01	4.32667e-11	-2.18202e-12
1.32810e+05	2.50000e+01	6.32250e+00	2.84846e-01	4.75148e+07	1.23336e+03	-2.73760e+04	-8.74204e+01	4.36856e-11	-1.96816e-12
9.48645e+04	2.50000e+01	6.37637e+00	2.56459e-01	7.38837e+07	1.52910e+03	-3.80182e+04	-8.76968e+01	4.40578e-11	-1.77202e-12
6.77604e+04	2.50000e+01	6.42461e+00	2.30896e-01	1.14889e+08	1.89914e+03	-5.28430e+04	-8.79417e+01	4.43912e-11	-1.59539e-12
4.84003e+04	2.50000e+01	6.46681e+00	2.08280e-01	1.78310e+08	2.36778e+03	-7.35162e+04	-8.81553e+01	4.46827e-11	-1.43912e-12
3.45716e+04	2.50000e+01	6.50496e+00	1.88656e-01	2.75600e+08	2.96803e+03	-1.02339e+05	-8.83388e+01	4.49463e-11	-1.30353e-12
2.46940e+04	2.50000e+01	6.53942e+00	1.71807e-01	4.23680e+08	3.74492e+03	-1.42541e+05	-8.84950e+01	4.51844e-11	-1.18711e-12
1.76386e+04	2.50000e+01	6.57077e+00	1.57345e-01	6.47670e+08	4.75640e+03	-1.98629e+05	-8.86282e+01	4.54011e-11	-1.08718e-12
1.25990e+04	2.50000e+01	6.59994e+00	1.45145e-01	9.82955e+08	6.08902e+03	-2.76876e+05	-8.87402e+01	4.56026e-11	-1.00289e-12
8.99928e+03	2.50000e+01	6.62673e+00	1.35042e-01	1.47909e+09	7.86780e+03	-3.86085e+05	-8.88326e+01	4.57877e-11	-9.33080e-13
6.42805e+03	2.50000e+01	6.65211e+00	1.26910e-01	2.20341e+09	1.02733e+04	-5.38486e+05	-8.89070e+01	4.59630e-11	-8.76891e-13
4.59147e+03	2.50000e+01	6.67556e+00	1.20490e-01	3.24913e+09	1.35598e+04	-7.51260e+05	-8.89660e+01	4.61251e-11	-8.32533e-13
3.27962e+03	2.50000e+01	6.69813e+00	1.15456e-01	4.74714e+09	1.80687e+04	-1.04825e+06	-8.90125e+01	4.62810e-11	-7.97746e-13
2.34258e+03	2.50000e+01	6.71972e+00	1.12150e-01	6.84190e+09	2.44146e+04	-1.46286e+06	-8.90438e+01	4.64302e-11	-7.74904e-13
1.67328e+03	2.50000e+01	6.74055e+00	1.10563e-01	9.71616e+09	3.34892e+04	-2.04170e+06	-8.90603e+01	4.65741e-11	-7.63938e-13
1.19520e+03	2.50000e+01	6.76103e+00	1.10720e-01	1.35833e+10	4.66675e+04	-2.84972e+06	-8.90618e+01	4.67156e-11	-7.65023e-13
8.53712e+02	2.50000e+01	6.78132e+00	1.12864e-01	1.86553e+10	6.62014e+04	-3.97763e+06	-8.90465e+01	4.68559e-11	-7.79842e-13
6.09794e+02	2.50000e+01	6.80171e+00	1.17141e-01	2.51640e+10	9.56160e+04	-5.55189e+06	-8.90133e+01	4.69967e-11	-8.09390e-13
4.35567e+02	2.50000e+01	6.82217e+00	1.23952e-01	3.32936e+10	1.40793e+05	-7.74907e+06	-8.89591e+01	4.71381e-11	-8.56455e-13
3.11119e+02	2.50000e+01	6.84270e+00	1.33897e-01	4.31492e+10	2.11638e+05	-1.08156e+07	-8.88790e+01	4.72800e-11	-9.25167e-13
2.22228e+02	2.50000e+01	6.86320e+00	1.48158e-01	5.45944e+10	3.25866e+05	-1.50953e+07	-8.87633e+01	4.74216e-11	-1.02370e-12
1.58734e+02	2.50000e+01	6.88357e+00	1.68528e-01	6.71934e+10	5.15804e+05	-2.10681e+07	-8.85975e+01	4.75623e-11	-1.16445e-12
1.13382e+02	2.50000e+01	6.90409e+00	1.97464e-01	8.02859e+10	8.40908e+05	-2.94013e+07	-8.83617e+01	4.77041e-11	-1.36439e-12
8.09869e+01	2.50000e+01	6.92511e+00	2.38253e-01	9.31574e+10	1.41133e+06	-4.10219e+07	-8.80296e+01	4.78493e-11	-1.64622e-12
5.78478e+01	2.50000e+01	6.94690e+00	2.95075e-01	1.05306e+11	2.43025e+06	-5.72150e+07	-8.75678e+01	4.79999e-11	-2.03883e-12
4.13199e+01	2.50000e+01	6.97000e+00	3.74177e-01	1.16261e+11	4.28129e+06	-7.97498e+07	-8.69271e+01	4.81595e-11	-2.58540e-12
2.95142e+01	2.50000e+01	6.99490e+00	4.83821e-01	1.25880e+11	7.68049e+06	-1.11042e+08	-8.60433e+01	4.83316e-11	-3.34298e-12
2.10816e+01	2.50000e+01	7.02260e+00	6.35747e-01	1.34117e+11	1.39705e+07	-1.54321e+08	-8.48272e+01	4.85229e-11	-4.39272e-12
1.50583e+01	2.50000e+01	7.05425e+00	8.45492e-01	1.41184e+11	2.56218e+07	-2.13772e+08	-8.31654e+01	4.87417e-11	-5.84196e-12
1.07559e+01	2.50000e+01	7.09177e+00	1.13588e+00	1.47126e+11	4.71572e+07	-2.94421e+08	-8.09003e+01	4.90009e-11	-7.84843e-12
7.68279e+00	2.50000e+01	7.13751e+00	1.53722e+00	1.52201e+11	8.64574e+07	-4.01434e+08	-7.78458e+01	4.93169e-11	-1.06215e-11
5.48770e+00	2.50000e+01	7.19467e+00	2.08998e+00	1.56725e+11	1.56285e+08	-5.38004e+08	-7.38020e+01	4.97119e-11	-1.44408e-11
3.91979e+00	2.50000e+01	7.26952e+00	2.85317e+00	1.60724e+11	2.74918e+08	-7.00454e+08	-6.85708e+01	5.02291e-11	-1.97141e-11
2.79985e+00	2.50000e+01	7.37126e+00	3.90512e+00	1.64400e+11	4.61692e+08	-8.71484e+08	-6.20864e+01	5.09321e-11	-2.69826e-11
1.99989e+00	2.50000e+01	7.51595e+00	5.35625e+00	1.67804e+11	7.24257e+08	-1.01629e+09	-5.45244e+01	5.19318e-11	-3.70092e-11
1.42850e+00	2.50000e+01	7.70559e+00	7.36401e+00	1.70875e+11	1.04523e+09	-1.09371e+09	-4.62985e+01	5.32421e-11	-5.08820e-11
1.02035e+00	2.50000e+01	8.01880e+00	1.01047e+01	1.74341e+11	1.37080e+09	-1.08783e+09	-3.84346e+01	5.54063e-11	-6.98186e-11
7.28824e-01	2.50000e+01	8.44968e+00	1.38916e+01	1.77540e+11	1.66067e+09	-1.01011e+09	-3.13104e+01	5.83834e-11	-9.59846e-11
5.20588e-01	2.50000e+01	9.11347e+00	1.89672e+01	1.82042e+11	1.89523e+09	-9.10628e+08	-2.56636e+01	6.29699e-11	-1.31055e-10
5.00000e-01	2.50000e+01	9.23461e+00	1.96991e+01	1.82497e+11	1.91726e+09	-8.98782e+08	-2.51165e+01	6.38070e-11	-1.36112e-10
1.00000e+06	3.00000e+01	5.89652e+00	4.31525e-01	4.16548e+06	2.84358e+02	-3.88557e+03	-8.58144e+01	4.07423e-11	-2.98164e-12
