FR4_MMA-A2_2, 26.9.2024, 17:59
Diameter[mm] 3.000e+01  Thickness[mm] 4.186e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00
 Freq. [Hz]	 Temp. [°C]	 Eps'  	 Eps'' 	Rspec.[Ohms cm]	 Zs' [Ohms]	 Zs'' [Ohms]	  Phi [Deg]	  Cp' [F]	 Cp'' [F]
1.00000e+06	-2.00000e+01	4.30917e+00	5.64658e-02	3.18336e+07	3.23640e+01	-2.46984e+03	-8.92493e+01	6.44282e-11	-8.44244e-13
7.14286e+05	-2.00000e+01	4.32319e+00	5.75259e-02	4.37457e+07	4.58611e+01	-3.44655e+03	-8.92376e+01	6.46378e-11	-8.60094e-13
5.10204e+05	-2.00000e+01	4.33589e+00	5.77239e-02	6.10339e+07	6.40495e+01	-4.81103e+03	-8.92373e+01	6.48278e-11	-8.63055e-13
3.64432e+05	-2.00000e+01	4.34866e+00	5.77891e-02	8.53510e+07	8.92441e+01	-6.71567e+03	-8.92386e+01	6.50187e-11	-8.64030e-13
2.60308e+05	-2.00000e+01	4.36118e+00	5.79592e-02	1.19141e+08	1.24591e+02	-9.37495e+03	-8.92386e+01	6.52059e-11	-8.66573e-13
1.85934e+05	-2.00000e+01	4.37403e+00	5.81447e-02	1.66265e+08	1.73959e+02	-1.30864e+04	-8.92384e+01	6.53980e-11	-8.69346e-13
1.32810e+05	-2.00000e+01	4.38636e+00	5.81770e-02	2.32642e+08	2.42310e+02	-1.82694e+04	-8.92401e+01	6.55823e-11	-8.69828e-13
9.48645e+04	-2.00000e+01	4.39886e+00	5.81776e-02	3.25695e+08	3.37313e+02	-2.55045e+04	-8.92423e+01	6.57692e-11	-8.69837e-13
6.77604e+04	-2.00000e+01	4.41147e+00	5.81672e-02	4.56055e+08	4.69460e+02	-3.56044e+04	-8.92446e+01	6.59577e-11	-8.69682e-13
4.84003e+04	-2.00000e+01	4.42466e+00	5.80257e-02	6.40034e+08	6.51741e+02	-4.96976e+04	-8.92487e+01	6.61550e-11	-8.67567e-13
3.45716e+04	-2.00000e+01	4.43689e+00	5.79247e-02	8.97609e+08	9.05839e+02	-6.93850e+04	-8.92520e+01	6.63378e-11	-8.66057e-13
2.46940e+04	-2.00000e+01	4.44917e+00	5.77210e-02	1.26109e+09	1.25675e+03	-9.68711e+04	-8.92567e+01	6.65214e-11	-8.63012e-13
1.76386e+04	-2.00000e+01	4.46142e+00	5.74290e-02	1.77450e+09	1.74096e+03	-1.35248e+05	-8.92625e+01	6.67045e-11	-8.58646e-13
